title,imageLink,link,price
Камера для Orange Pi,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/04/1a/041a312249db19639aa89330ef6f1a85.jpg,https://amperkot.ru/products/kamera_dlya_orange_pi/24289222.html,780 руб.
Металлический корпус для компьютера Orange Pi 5 Plus,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/73/3c/733c6009c0bc09dafdc8dcc9ac817f30.png,https://amperkot.ru/products/metallicheskiy_korpus_dlya_kompyutera_orange_pi_5_plus/40562809.html,2 430 руб.
Активный кулер для Orange Pi 5 Plus  4900 RPM,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/2a/ac/2aac06eb4cea9ce6ae2dc51cd57fc0db.jpg,https://amperkot.ru/products/aktivnyiy_kuler_dlya_orange_pi_5_plus__4900_rpm/40562805.html,600 руб.
Мини-компьютер Orange Pi Prime,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/60/78/6078d9cc13699540db000aca7cd24f90.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_prime/30674964.html,3 300 руб.
Белый корпус для Orange Pi Zero,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/d4/0c/d40ca002cf72827df47b62a7b3445496.jpg,https://amperkot.ru/products/belyiy_korpus_dlya_orange_pi_zero/24289219.html,260 руб.
Алюминиевый радиатор для охлаждения процессора Orange Pi 5 Plus,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/75/b8/75b8a83cee68fbddd34ce53a11dab014.png,https://amperkot.ru/products/alyuminievyiy_radiator_dlya_ohlazhdeniya_protsessora_orange_pi_5_plus/40562806.html,385 руб.
Акриловый корпус для Orange Pi PC Plus,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/4b/e8/4be8e185ac1088275a6fa9caa8368cdd.jpg,https://amperkot.ru/products/akrilovyiy_korpus_dlya_orange_pi_pc_plus/24289232.html,550 руб.
Мини-компьютер Orange Pi Plus 2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/2d/59/2d59fc0f25d8fdc1a9b9a94cd695f0b5.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_plus_2/24289217.html,3 900 руб.
Мини-компьютер Orange Pi Lite 2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/91/55/9155cf4bace04138731a0a3df241ffbd.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_lite_2/24346572.html,3 100 руб.
Акриловый корпус для Orange Pi Lite темный,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/f0/5e/f05e2b98526f7a1a7b797b8340bff273.jpg,https://amperkot.ru/products/akrilovyiy_korpus_dlya_orange_pi_lite_temnyiy/24289223.html,495 руб.
Акриловый корпус для Orange Pi PC и PC2 голубой,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/cf/a1/cfa18d2bc7d4f0be7e714b4be2cf5659.jpg,https://amperkot.ru/products/akrilovyiy_korpus_dlya_orange_pi_pc_i_pc2_goluboy/24289233.html,590 руб.
Мини-компьютер Orange Pi PC2 RAM 1GB,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/a1/54/a15450e7703c76ce1fdedf68ebb2da8e.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_pc2_ram_1gb/24289216.html,4 450 руб.
Мини-компьютер Orange Pi i96 RAM 256MB,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/a1/ad/a1ad8578056392df17d7bda82be5a0eb.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_i96_ram_256mb/24346574.html,780 руб.
Мини-компьютер Orange Pi 3 RAM 1GB,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/ad/b4/adb4cb7ded87481e04e6afea719e02de.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_3_ram_1gb/25179838.html,3 300 руб.
Мини-компьютер Orange Pi One RAM 1GB,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/cd/6e/cd6eefc4c1908c7208d3dfc74d484a71.jpg,https://amperkot.ru/products/minikompyuter_orange_pi_one_ram_1gb/24289218.html,3 605 руб.
Корпус темный прозрачный для Orange Pi PC Plus,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/96/5f/965fd736b07aa010dc00b4190c0532f7.jpg,https://amperkot.ru/products/korpus_temnyiy_prozrachnyiy_dlya_orange_pi_pc_plus/24289230.html,550 руб.
Одноплатный компьютер Orange Pi 3B RK3566 2GB,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/d4/a0/d4a0d2f039a31e31733130ab3fc64cfd.jpg,https://amperkot.ru/products/odnoplatnyiy_kompyuter_orange_pi_3b_rk3566_2gb/40562786.html,5 495 руб.
Одноплатный компьютер Orange Pi 5 RK3588S 4ГБ,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/62/ef/62ef1d9b907a29aea2b47da31d815a4c.jpg,https://amperkot.ru/products/odnoplatnyiy_kompyuter_orange_pi_5_rk3588s_4gb/40074795.html,12 150 руб.
Одноплатный компьютер Orange Pi 5 RK3588S 16ГБ,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/6c/4d/6c4d7ef23e15e8a5b188f2d2101070a2.jpg,https://amperkot.ru/products/odnoplatnyiy_kompyuter_orange_pi_5_rk3588s_16gb/40100127.html,17 580 руб.
Одноплатный компьютер Orange Pi 5 RK3588S 8ГБ,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/9d/d1/9dd1601167d1d685c5cb1633d47329a2.jpg,https://amperkot.ru/products/odnoplatnyiy_kompyuter_orange_pi_5_rk3588s_8gb/40100126.html,17 590 руб.
Orange Pi AI Stick Lite,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/ee/d7/eed7f384e8b3a1c5e39c8502a6f112ad.jpg,https://amperkot.ru/products/orange_pi_ai_stick_lite/39848089.html,2 720 руб.
